MAC	b37	b38
0	15	0
1	1279	0
2	637	0
3	422	0
4	269	0
5	220	0
6	180	0
7	174	0
8	135	0
9	122	0
10	89	0
11	97	0
12	63	0
13	66	0
14	66	0
15	69	0
16	51	0
17	45	0
18	40	0
19	44	0
20	28	0
21	36	231
22	34	232
23	30	218
24	34	190
25	27	166
26	33	228
27	29	164
28	25	179
29	27	148
30	22	138
31	28	136
32	25	120
33	18	132
34	16	124
35	21	143
36	23	122
37	23	122
38	15	115
39	18	117
40	14	89
41	15	98
42	18	80
43	9	79
44	16	94
45	13	79
46	20	126
47	20	89
48	15	128
49	17	109
50	15	74
51	11	83
52	12	73
53	15	59
54	12	66
55	9	81
56	16	66
57	12	61
58	10	76
59	11	55
60	12	50
61	8	106
62	10	44
63	8	78
64	14	39
65	13	52
66	9	49
67	7	48
68	6	53
69	16	45
70	3	52
71	11	40
72	6	34
73	5	41
74	15	49
75	15	57
76	8	36
77	22	45
78	9	46
79	3	29
80	9	134
81	12	42
82	4	82
83	6	38
84	6	36
85	6	42
86	7	32
87	3	35
88	9	31
89	8	29
90	13	40
91	1	35
92	3	22
93	5	41
94	2	22
95	1	21
96	2	27
97	6	25
98	3	38
99	5	24
100	4	27
101	2	28
102	9	33
103	7	37
104	6	26
105	5	28
106	5	24
107	2	22
108	3	30
109	8	16
110	9	32
111	2	13
112	7	28
113	4	19
114	5	12
115	1	27
116	3	25
117	4	25
118	4	29
119	6	35
120	5	39
121	2	33
122	10	21
123	10	24
124	5	27
125	6	17
126	4	22
127	8	40
128	1	33
129	4	24
130	6	20
131	3	28
132	4	30
133	4	16
134	3	27
135	2	29
136	8	20
137	8	17
138	5	11
139	9	12
140	5	18
141	4	15
142	6	16
143	2	18
144	5	22
145	8	35
146	3	23
147	4	10
148	6	15
149	2	13
150	8	20
151	6	20
152	6	19
153	2	14
154	0	9
155	3	18
156	3	8
157	7	13
158	3	28
159	3	15
160	6	19
161	0	9
162	4	13
163	6	16
164	1	6
165	3	15
166	4	9
167	4	8
168	1	7
169	5	13
170	6	13
171	4	12
172	4	15
173	9	20
174	4	15
175	4	15
176	2	12
177	5	16
178	0	7
