,stat,statistic,pvalue,label,PC,method,reg
0,wasserstein,0.0,,Real,1,coupled_PCA,
1,wasserstein,0.0,,Real,2,coupled_PCA,
2,wasserstein,0.0,,Real,3,coupled_PCA,
3,wasserstein,0.0,,Real,4,coupled_PCA,
4,wasserstein,0.0,,Real,5,coupled_PCA,
5,wasserstein,0.0,,Real,6,coupled_PCA,
6,wasserstein,0.45543746487419234,,Truth,1,coupled_PCA,
7,wasserstein,0.18691966237966712,,Truth,2,coupled_PCA,
8,wasserstein,0.1797734725988094,,Truth,3,coupled_PCA,
9,wasserstein,0.27308033928557784,,Truth,4,coupled_PCA,
10,wasserstein,0.19532181894384099,,Truth,5,coupled_PCA,
11,wasserstein,0.16843276079014669,,Truth,6,coupled_PCA,
12,wasserstein,7.042629404035749,,Indep,1,coupled_PCA,
13,wasserstein,5.106235671899771,,Indep,2,coupled_PCA,
14,wasserstein,4.392752663951745,,Indep,3,coupled_PCA,
15,wasserstein,3.7504381506317737,,Indep,4,coupled_PCA,
16,wasserstein,3.4465303821498807,,Indep,5,coupled_PCA,
17,wasserstein,3.257439212414609,,Indep,6,coupled_PCA,
18,wasserstein,6.8871309039346045,,Markov,1,coupled_PCA,
19,wasserstein,4.931014234617149,,Markov,2,coupled_PCA,
20,wasserstein,3.843290046319501,,Markov,3,coupled_PCA,
21,wasserstein,3.362874083415879,,Markov,4,coupled_PCA,
22,wasserstein,3.0369461860160136,,Markov,5,coupled_PCA,
23,wasserstein,2.9764999498314992,,Markov,6,coupled_PCA,
24,wasserstein,1.1605440952255257,,HMM,1,coupled_PCA,
25,wasserstein,3.6446621646285733,,HMM,2,coupled_PCA,
26,wasserstein,0.49779148667649337,,HMM,3,coupled_PCA,
27,wasserstein,1.8589292892181826,,HMM,4,coupled_PCA,
28,wasserstein,0.34802666055485615,,HMM,5,coupled_PCA,
29,wasserstein,0.4282689924267171,,HMM,6,coupled_PCA,
30,wasserstein,0.5231799603613817,,WGAN,1,coupled_PCA,
31,wasserstein,0.32840273969130224,,WGAN,2,coupled_PCA,
32,wasserstein,0.235405578576533,,WGAN,3,coupled_PCA,
33,wasserstein,0.23657273052540093,,WGAN,4,coupled_PCA,
34,wasserstein,0.31067766612597003,,WGAN,5,coupled_PCA,
35,wasserstein,0.2160567431227807,,WGAN,6,coupled_PCA,
36,wasserstein,0.30937939040763884,,RBM,1,coupled_PCA,
37,wasserstein,0.3080594418004252,,RBM,2,coupled_PCA,
38,wasserstein,0.27700330929714223,,RBM,3,coupled_PCA,
39,wasserstein,0.24172002830947692,,RBM,4,coupled_PCA,
40,wasserstein,0.2959518751344242,,RBM,5,coupled_PCA,
41,wasserstein,0.1949792335147414,,RBM,6,coupled_PCA,
42,wasserstein,0.8563227032672232,,GPC,1,coupled_PCA,
43,wasserstein,0.6154905685978042,,GPC,2,coupled_PCA,
44,wasserstein,0.2581702790439263,,GPC,3,coupled_PCA,
45,wasserstein,0.32268399270043513,,GPC,4,coupled_PCA,
46,wasserstein,0.21205760682612396,,GPC,5,coupled_PCA,
47,wasserstein,0.6736368763257303,,GPC,6,coupled_PCA,
0,wasserstein2D,0.0018029091296017873,,Real,1-2,coupled_PCA,0.002
1,wasserstein2D,0.001783832261836495,,Real,3-4,coupled_PCA,0.002
2,wasserstein2D,0.001828232869632029,,Real,5-6,coupled_PCA,0.002
3,wasserstein2D,0.002615215589418798,,Truth,1-2,coupled_PCA,0.002
4,wasserstein2D,0.0022130155578065033,,Truth,3-4,coupled_PCA,0.002
5,wasserstein2D,0.0022679344104641983,,Truth,5-6,coupled_PCA,0.002
6,wasserstein2D,0.23550709524126384,,Indep,1-2,coupled_PCA,0.002
7,wasserstein2D,0.1475862901194259,,Indep,3-4,coupled_PCA,0.002
8,wasserstein2D,0.10105554601099714,,Indep,5-6,coupled_PCA,0.002
9,wasserstein2D,0.20854306793044702,,Markov,1-2,coupled_PCA,0.002
10,wasserstein2D,0.1148300486197159,,Markov,3-4,coupled_PCA,0.002
11,wasserstein2D,0.08215280975601388,,Markov,5-6,coupled_PCA,0.002
12,wasserstein2D,0.034785917280470965,,HMM,1-2,coupled_PCA,0.002
13,wasserstein2D,0.012250631565107773,,HMM,3-4,coupled_PCA,0.002
14,wasserstein2D,0.004238910966618575,,HMM,5-6,coupled_PCA,0.002
15,wasserstein2D,0.00283328020520319,,WGAN,1-2,coupled_PCA,0.002
16,wasserstein2D,0.002294011243517509,,WGAN,3-4,coupled_PCA,0.002
17,wasserstein2D,0.0023552164572290066,,WGAN,5-6,coupled_PCA,0.002
18,wasserstein2D,0.002726646829679593,,RBM,1-2,coupled_PCA,0.002
19,wasserstein2D,0.0023595796454872553,,RBM,3-4,coupled_PCA,0.002
20,wasserstein2D,0.0022841027301948196,,RBM,5-6,coupled_PCA,0.002
21,wasserstein2D,0.003946109712459956,,GPC,1-2,coupled_PCA,0.002
22,wasserstein2D,0.002848899499905643,,GPC,3-4,coupled_PCA,0.002
23,wasserstein2D,0.002920882347272315,,GPC,5-6,coupled_PCA,0.002
