,stat,statistic,pvalue,label,PC,method,reg
0,wasserstein2D,0.0018029091296017873,,Real,1-2,coupled_PCA,0.002
1,wasserstein2D,0.001783832261836495,,Real,3-4,coupled_PCA,0.002
2,wasserstein2D,0.001828232869632029,,Real,5-6,coupled_PCA,0.002
3,wasserstein2D,0.002615215589418798,,Truth,1-2,coupled_PCA,0.002
4,wasserstein2D,0.0022130155578065033,,Truth,3-4,coupled_PCA,0.002
5,wasserstein2D,0.0022679344104641983,,Truth,5-6,coupled_PCA,0.002
6,wasserstein2D,0.23550709524126384,,Indep,1-2,coupled_PCA,0.002
7,wasserstein2D,0.1475862901194259,,Indep,3-4,coupled_PCA,0.002
8,wasserstein2D,0.10105554601099714,,Indep,5-6,coupled_PCA,0.002
9,wasserstein2D,0.20854306793044702,,Markov,1-2,coupled_PCA,0.002
10,wasserstein2D,0.1148300486197159,,Markov,3-4,coupled_PCA,0.002
11,wasserstein2D,0.08215280975601388,,Markov,5-6,coupled_PCA,0.002
12,wasserstein2D,0.034785917280470965,,HMM,1-2,coupled_PCA,0.002
13,wasserstein2D,0.012250631565107773,,HMM,3-4,coupled_PCA,0.002
14,wasserstein2D,0.004238910966618575,,HMM,5-6,coupled_PCA,0.002
15,wasserstein2D,0.00283328020520319,,WGAN,1-2,coupled_PCA,0.002
16,wasserstein2D,0.002294011243517509,,WGAN,3-4,coupled_PCA,0.002
17,wasserstein2D,0.0023552164572290066,,WGAN,5-6,coupled_PCA,0.002
18,wasserstein2D,0.002726646829679593,,RBM,1-2,coupled_PCA,0.002
19,wasserstein2D,0.0023595796454872553,,RBM,3-4,coupled_PCA,0.002
20,wasserstein2D,0.0022841027301948196,,RBM,5-6,coupled_PCA,0.002
21,wasserstein2D,0.003946109712459956,,GPC,1-2,coupled_PCA,0.002
22,wasserstein2D,0.002848899499905643,,GPC,3-4,coupled_PCA,0.002
23,wasserstein2D,0.002920882347272315,,GPC,5-6,coupled_PCA,0.002
