method,bin_left,n_pairs_true,n_pairs_method,LD_true,LD_method,abs_error,sq_error
Truth,1.0,91,91,0.28510671696286877,0.28485269698579974,0.000254019977069031,6.452614875015104e-08
Truth,2.114978730727839,58,58,0.16001857654737625,0.15972960012537826,0.00028897642199798845,8.35073724707595e-08
Truth,4.473135031431141,154,154,0.19110474309349212,0.19101069123038086,9.405186311126079e-05,8.845752954699339e-09
Truth,9.460585451150466,273,273,0.19820416533853172,0.19866954266088316,0.00046537732235144014,2.1657605215899623e-07
Truth,20.008937009416474,584,584,0.15645928395746125,0.1559433536904383,0.0005159302670229571,2.661840404303798e-07
Truth,42.31847619938894,1133,1133,0.16791784439635368,0.16723217297360185,0.0006856714227518323,4.70145299978522e-07
Truth,89.50267707851988,2477,2477,0.137556126653637,0.1374944629426377,6.166371099930457e-05,3.802413254205755e-09
Truth,189.29625836427152,5166,5166,0.14461560100792886,0.1445175758648385,9.802514309037447e-05,9.60892867788839e-09
Truth,400.35756024679625,10747,10747,0.1352718551503899,0.13516846999170917,0.00010338515868071885,1.0688491035437416e-08
Truth,846.747724608064,23014,23014,0.12995116430918185,0.12994148138244827,9.682926733589614e-06,9.375907012806444e-11
Truth,1790.8534278382479,47502,47502,0.12036519839310855,0.12021324976238003,0.00015194863072852394,2.308838638027333e-08
Truth,3787.6169097289353,99197,99197,0.10981781051827279,0.10961572049211127,0.0002020900261615194,4.084037867396359e-08
Truth,8010.729204221808,206545,206545,0.09653772822118989,0.09620433370651497,0.00033339451467491454,1.111519024153218e-07
Truth,16942.52188454948,429946,429946,0.08020597566952073,0.07971917030298366,0.0004868053665370714,2.3697946488929244e-07
Truth,35833.07343071304,882134,882134,0.05745972780072029,0.05669925215434234,0.0007604756463779477,5.783232087339574e-07
Truth,75786.18816256695,1796267,1796267,0.033528630266378465,0.032600601661688794,0.0009280286046896707,8.612370911222571e-07
Truth,160286.1760467671,3591966,3591966,0.013119593952769798,0.01255435507860738,0.000565238874162417,3.1949498486439663e-07
Truth,339001.8531686106,6572967,6572967,0.004534096765188746,0.004231496918243185,0.0003025998469455612,9.156666737147704e-08
Truth,716981.7091289337,11601929,11601929,0.0012456414832916647,0.001120682690785851,0.00012495879250581368,1.5614699824510998e-08
Truth,1516401.0651285865,9226821,9226821,0.0005696197240645353,0.0004204197060393317,0.00014920001802520356,2.2260645378721066e-08
Indep,1.0,91,91,0.28510671696286877,9.179280568199725e-05,0.28501492415718677,0.08123350699232693
Indep,2.114978730727839,58,58,0.16001857654737625,0.00010064893669103152,0.1599179276106852,0.025573743571296357
Indep,4.473135031431141,154,154,0.19110474309349212,0.00010872124927021324,0.1909960218442219,0.03647948036031849
Indep,9.460585451150466,273,273,0.19820416533853172,9.113990016684835e-05,0.19811302543836487,0.039248770848342204
